Year,Emirate En,Geo Coordinates,Nationality Group En,Gender En,Total
2011,Ajman,"25.4052° N, 55.5136° E",Citizen,Female,32
2011,Ajman,"25.4052° N, 55.5136° E",Citizen,Male,59
2011,Ajman,"25.4052° N, 55.5136° E",Expat,Female,74
2011,Ajman,"25.4052° N, 55.5136° E",Expat,Male,237
2011,Dubai,"25.2048° N, 55.2708° E",Citizen,Female,212
2011,Dubai,"25.2048° N, 55.2708° E",Citizen,Male,320
2011,Dubai,"25.2048° N, 55.2708° E",Expat,Female,339
2011,Dubai,"25.2048° N, 55.2708° E",Expat,Male,1082
2011,Fujairah,"25.1288° N, 56.3265° E",Citizen,Female,52
2011,Fujairah,"25.1288° N, 56.3265° E",Citizen,Male,90
2011,Fujairah,"25.1288° N, 56.3265° E",Expat,Female,23
2011,Fujairah,"25.1288° N, 56.3265° E",Expat,Male,94
2011,Ras Al Khaima,"25.8007° N, 55.9762° E",Citizen,Female,99
2011,Ras Al Khaima,"25.8007° N, 55.9762° E",Citizen,Male,123
2011,Ras Al Khaima,"25.8007° N, 55.9762° E",Expat,Female,46
2011,Ras Al Khaima,"25.8007° N, 55.9762° E",Expat,Male,187
2011,Sharjah,"25.0754° N, 55.7578° E",Citizen,Female,155
2011,Sharjah,"25.0754° N, 55.7578° E",Citizen,Male,209
2011,Sharjah,"25.0754° N, 55.7578° E",Expat,Female,220
2011,Sharjah,"25.0754° N, 55.7578° E",Expat,Male,720
2011,Umm Al Quawain,"25.5426° N, 55.5475° E",Citizen,Female,22
2011,Umm Al Quawain,"25.5426° N, 55.5475° E",Citizen,Male,25
2011,Umm Al Quawain,"25.5426° N, 55.5475° E",Expat,Female,7
2011,Umm Al Quawain,"25.5426° N, 55.5475° E",Expat,Male,37
2012,Ajman,"25.4052° N, 55.5136° E",Citizen,Female,41
2012,Ajman,"25.4052° N, 55.5136° E",Citizen,Male,46
2012,Ajman,"25.4052° N, 55.5136° E",Expat,Female,99
2012,Ajman,"25.4052° N, 55.5136° E",Expat,Male,256
2012,Dubai,"25.2048° N, 55.2708° E",Citizen,Female,221
2012,Dubai,"25.2048° N, 55.2708° E",Citizen,Male,317
2012,Dubai,"25.2048° N, 55.2708° E",Expat,Female,365
2012,Dubai,"25.2048° N, 55.2708° E",Expat,Male,1231
2012,Fujairah,"25.1288° N, 56.3265° E",Citizen,Female,64
2012,Fujairah,"25.1288° N, 56.3265° E",Citizen,Male,75
2012,Fujairah,"25.1288° N, 56.3265° E",Expat,Female,37
2012,Fujairah,"25.1288° N, 56.3265° E",Expat,Male,115
2012,Ras Al Khaima,"25.8007° N, 55.9762° E",Citizen,Female,93
2012,Ras Al Khaima,"25.8007° N, 55.9762° E",Citizen,Male,138
2012,Ras Al Khaima,"25.8007° N, 55.9762° E",Expat,Female,55
2012,Ras Al Khaima,"25.8007° N, 55.9762° E",Expat,Male,182
2012,Sharjah,"25.0754° N, 55.7578° E",Citizen,Female,128
2012,Sharjah,"25.0754° N, 55.7578° E",Citizen,Male,202
2012,Sharjah,"25.0754° N, 55.7578° E",Expat,Female,255
2012,Sharjah,"25.0754° N, 55.7578° E",Expat,Male,760
2012,Umm Al Quawain,"25.5426° N, 55.5475° E",Citizen,Female,11
2012,Umm Al Quawain,"25.5426° N, 55.5475° E",Citizen,Male,36
2012,Umm Al Quawain,"25.5426° N, 55.5475° E",Expat,Female,15
2012,Umm Al Quawain,"25.5426° N, 55.5475° E",Expat,Male,37
2013,Abu Dhabi,"24.4539° N, 54.3773° E",Citizen,Female,364
2013,Abu Dhabi,"24.4539° N, 54.3773° E",Citizen,Male,568
2013,Abu Dhabi,"24.4539° N, 54.3773° E",Expat,Female,537
2013,Abu Dhabi,"24.4539° N, 54.3773° E",Expat,Male,1546
2013,Ajman,"25.4052° N, 55.5136° E",Citizen,Female,31
2013,Ajman,"25.4052° N, 55.5136° E",Citizen,Male,43
2013,Ajman,"25.4052° N, 55.5136° E",Expat,Female,88
2013,Ajman,"25.4052° N, 55.5136° E",Expat,Male,262
2013,Dubai,"25.2048° N, 55.2708° E",Citizen,Female,241
2013,Dubai,"25.2048° N, 55.2708° E",Citizen,Male,339
2013,Dubai,"25.2048° N, 55.2708° E",Expat,Female,443
2013,Dubai,"25.2048° N, 55.2708° E",Expat,Male,1282
2013,Fujairah,"25.1288° N, 56.3265° E",Citizen,Female,55
2013,Fujairah,"25.1288° N, 56.3265° E",Citizen,Male,91
2013,Fujairah,"25.1288° N, 56.3265° E",Expat,Female,23
2013,Fujairah,"25.1288° N, 56.3265° E",Expat,Male,110
2013,Ras Al Khaima,"25.8007° N, 55.9762° E",Citizen,Female,100
2013,Ras Al Khaima,"25.8007° N, 55.9762° E",Citizen,Male,137
2013,Ras Al Khaima,"25.8007° N, 55.9762° E",Expat,Female,59
2013,Ras Al Khaima,"25.8007° N, 55.9762° E",Expat,Male,186
2013,Sharjah,"25.0754° N, 55.7578° E",Citizen,Female,146
2013,Sharjah,"25.0754° N, 55.7578° E",Citizen,Male,196
2013,Sharjah,"25.0754° N, 55.7578° E",Expat,Female,270
2013,Sharjah,"25.0754° N, 55.7578° E",Expat,Male,796
2013,Umm Al Quawain,"25.5426° N, 55.5475° E",Citizen,Female,11
